"230";"1"
"691";"1"
"701";"1"
"692";"1"
"715";"1"
"709";"1"
"732";"1"
"723";"1"
"734";"1"
"724";"1"
"671";"1"
"694";"1"
"695";"1"
"693";"1"
"751";"1"
"759";"1"
"733";"1"
"702";"1"
"707";"1"
"735";"1"
"705";"1"
"706";"1"
"721";"1"
"766";"1"
"7511";"1"
"757";"1"
"758";"1"
"7512";"1"
"7611";"0"
"768";"0"
"712";"1"
"752";"1"
"7010";"1"
"753";"1"
"765";"1"
"7510";"1"
"755";"1"
"767";"1"
"7612";"0"
"7610";"0"
"982";"0"
"713";"1"
"9817";"0"
"984";"0"
"9815";"0"
"762";"1"
"986";"0"
"9816";"0"
"764";"1"
"983";"0"
"714";"1"
"9833";"0"
"985";"0"
"731";"0"
"9810";"0"
"987";"0"
"9824";"0"
"9818";"0"
"9834";"0"
"989";"0"
"9848";"0"
"9811";"0"
"738";"1"
"9826";"0"
"756";"1"
"9813";"0"
"9851";"0"
"9823";"0"
"763";"1"
"9832";"0"
"9865";"0"
"9820";"0"
"9825";"0"
"9835";"0"
"9841";"0"
"704";"1"
"9843";"0"
"981";"0"
"9840";"0"
"9849";"0"
"9866";"0"
"9842";"0"
"988";"0"
"9822";"0"
"9845";"0"
"9812";"0"
"9857";"0"
"737";"1"
"9819";"0"
"13560";"1"
"9850";"0"
"9847";"0"
"9859";"0"
"739";"1"
"9867";"0"
"769";"1"
"9852";"0"
"9868";"0"
"9874";"0"
"9830";"0"
"980";"1"
"13592";"1"
"9827";"0"
"9837";"0"
"9858";"0"
"9854";"0"
"9844";"0"
"13595";"1"
"9856";"0"
"9829";"0"
"9855";"0"
"26110";"1"
"13550";"1"
"9831";"0"
"9869";"0"
"9836";"0"
"9860";"0"
"26113";"1"
"13552";"1"
"13586";"1"
"13593";"1"
"26111";"1"
"13601";"1"
"13555";"1"
"9873";"0"
"26295";"1"
"9838";"0"
"26103";"1"
"26118";"1"
"26296";"1"
"9875";"0"
"13556";"1"
"42121";"1"
"26235";"1"
"13591";"1"
"9861";"0"
"13588";"1"
"42140";"1"
"26112";"1"
"13596";"1"
"9863";"0"
"13606";"1"
"26237";"1"
"42190";"1"
