"1776631","Detector de Monóxido de Carbono
Display Digital
Alarma sonora de 85 db a 3mts. de distancia
Sensor Electroquímico de alta sensibilidad y maxima confiabilidad.  Rango de medida: 20 a 999 ppm
Densidad CO y tiempo de respuesta: 150ppm"
"1676142","Descargador Polimérico con dispositivo de desconexión
Tensión nominal: 30KV
Intensidad de descarga: 10KA
Clase 1
Norma de aplicación Ansi/IEEE C 62.11 - IEC 60099.4"
"1776625","Sensor para colocación en pared o techo. 
Cobertura 180º - 8 mts. 
Tiempo: 10 seg. - 4 min. 
Carga Máxima: 1000W apto todo tipo de lámparas. 
En color blanco o negro."
"1776623","- Detector de Gas Natural (No es para monóxido de carbono)
- Envasado Alimentación: 220 - 240 Vca. 
- Consumo: máximo 3 W. 
- Tiempo de respuesta: máximo 30 segundos. 
- Nivel de sonido de alarma: &gt;70 db. 
- Nivel de detección: 10% LEL 
- Contacto auxiliar: 1NA+1NC Montaje superficial 220 Vca"
"1776624","Sensor para colocación en pared o techo. 
Cobertura 180º - 8 mts. 
Tiempo: 10 seg. - 4 min. 
Carga Máxima: 1000W apto todo tipo de lámparas. 
En color blanco o negro."
"1776015","Detectores Sensor de Humo Autonomo SICA Batería 9V + Alarma

El detector de Humo SICA es un dispositivo electrónico de alta tecnología que permite detectar y alertar cuando hay presencia de humo originado por combustión, Su alimentación es por medio de una batería reemplazable de 9V lo que le permite constituirse es una pequeña central de emergencias autónoma e inteligente.
Cuando el humo ingresa a la cámara, el sensor luminoso detecta menos luz debido al efecto del humo. Esta variación es detectada y procesada por un circuito electrónico, activando de esta forma una sirena (zumbador piezocerámico). La duración de la batería es aproximadamente 1 año.
El dispositivo cumple con la NORMA: EN14604.
Consumo stand by: &lt;10 uA
Consumo funcionamiento: &lt;20 mA
Nivel de sonido de la alarma: &gt;85dB (3 mts)
Temperatura de trabajo: -10°C – 40°C
Humedad relativa: &lt;95% HR

Modelo: Sensor de Humo
Tipo de alarma: Sensores
Tipo de sensores: Humo
Cantidad de zonas: 1
Cantidad máxima de sensores: 1"
"1854605","Función

Para inspección inicial y mantenimiento de una instalación eléctrica en inmuebles. Cumple el Reglamento AEA 3/2006

Aplicación

- Prueba de tensión de línea

Introducir la ficha firmemente, si se enciende el led verde existe tensión en la línea. Si encienden los leds verde y rojo o parpadean, existe falso contacto en el tomacorriente. Verificar la correcta inserción de la ficha de testeo.

- Prueba de polaridad

Introducir la ficha firmemente, si enciende el led verde implica que la polaridad es correcta. Si encienden ambos es incorrecta.

- Prueba del diferencial y conexión a tierra

Introducir la ficha firmemente y apretar el pulsador. Si dispara el diferencial implica que está bien calibrado (tierra está conectada).

- Si no dispara:

a- Tierra no conectada o no existente.

b- Mal calibrado el diferencial (In&gt;30mA)

c- Si al levantar el polo neutro y accionar el pulsador no salta el diferencial entonces es electrónico.

Puntos del reglamento de la AEA 2006 (extracto)

- 771.23.3 – Inspección inicial

- 771.23.3.1: Inspección Visual

- Existencia en todos los tomacorrientes de la conexión del conductor de protección a su borne de puesta a tierra.

- Comprobación en todos los tomacorrientes de la correcta ubicación de los conductores de línea (fase), neutro y protección.

- Verificación del funcionamiento de los interruptores diferenciales en la instalación.

- fase, neutro y protección (vivo a la derecha).

- Ensayo de funcionamiento de los interruptores a corriente diferencial.

Advertencia

No dejar conectado en forma continua por más de 3 minutos"
"2087190","- Frente Master 4 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2087193","- Frente Expansor 4 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2087194","- Frente Expansor 6 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2087208","- Frente Expansor 8 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2087211","- Protector de lluvia para porteros eléctricos"
"2087191","- Frente Master }6 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2087192","- Frente Master 8 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2087209","- Frente Expansor 10 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2087210","- Frente Expansor 12 pulsadores para embutir
- Botonera luminosa
- Material: Aluminio"
"2110000","Su uso está orientado a la integración de tableros seccionales de distribución eléctrica para elementos de modulación DIN. Poseen un diseño cuidado y funcional pensado para facilitarle el trabajo al instalador en todas las etapas del montaje. Se han desarrollado en dos versiones: de embutir y sobreponer, y son aptas para todo tipo de paredes o tabiques, tanto en construcciones tradicionales como en seco.
Disponible en LH. Certificado IRAM"
"2130710","Gabinete con chasis metálico  color beige ral 7032 - ip65 ik10"
"2174506","Son especialmente aptas para ser usadas a la intemperie por su grado de protección IP65. Para paso, derivación y conexión. Son fabricadas con termoplásticos aislantes, siendo aptas para ser utilizadas en instalaciones fijas domiciliarias o industriales tanto embutidas como sobrepuestas y compatibles con la totalidad de los artículos Genrod.
Disponible en LH. Certificado IRAM"
"2174508","Son especialmente aptas para ser usadas a la intemperie por su grado de protección IP65. Para paso, derivación y conexión. Son fabricadas con termoplásticos aislantes, siendo aptas para ser utilizadas en instalaciones fijas domiciliarias o industriales tanto embutidas como sobrepuestas y compatibles con la totalidad de los artículos Genrod.
Disponible en LH. Certificado IRAM"
"2130713","Contratapa fija beige para ref m7850 / m5078"
"2130714","Gabinete con chasis metálico base beige ral 7032 y tapa transparente - ip65 ik10
El gabinete tiene medidas 640mm x 500mm x 250mm"
"2174501","Son especialmente aptas para ser usadas a la intemperie por su grado de protección IP65. Para paso, derivación y conexión. Son fabricadas con termoplásticos aislantes, siendo aptas para ser utilizadas en instalaciones fijas domiciliarias o industriales tanto embutidas como sobrepuestas y compatibles con la totalidad de los artículos Genrod.
Disponible en LH. Certificado IRAM"
"2174505","Son especialmente aptas para ser usadas a la intemperie por su grado de protección IP65. Para paso, derivación y conexión. Son fabricadas con termoplásticos aislantes, siendo aptas para ser utilizadas en instalaciones fijas domiciliarias o industriales tanto embutidas como sobrepuestas y compatibles con la totalidad de los artículos Genrod.
Disponible en LH. Certificado IRAM"
"2174512","Son especialmente aptas para ser usadas a la intemperie por su grado de protección IP65. Para paso, derivación y conexión. Son fabricadas con termoplásticos aislantes, siendo aptas para ser utilizadas en instalaciones fijas domiciliarias o industriales tanto embutidas como sobrepuestas y compatibles con la totalidad de los artículos Genrod.
Disponible en LH. Certificado IRAM"
